STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Address,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Total Units,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Year Built,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
5-00001-0216,"10 BAY STREET LANDING
Staten Island, NY
(40.63818574879054, -74.07333765648139)",NEW BRIGHTON-ST. GEORGE,D0-ELEVATOR,128,1984,171935,1500703,8.73,677692,3.94,823011,4913000,28.57,5-00240-0003,"937 VICTORY BOULEVARD
Staten Island, NY
(40.62172277417215, -74.0971976529192)",CLOVE LAKES,D1-ELEVATOR,111,1965,107960,1500465,13.9,787479,7.29,712986,4697000,43.51,1.96,5-00590-0001,"700 VICTORY BOULEVARD
Staten Island, NY
(40.625670055825246, -74.09224343694464)",GRYMES HILL,D3-ELEVATOR,228,1962,242500,3298026,13.6,1836213,7.57,1461813,9668000,39.87,1.45,,, , , , , , , , , , , , , 
5-00001-0250,"36 BAY STREET LANDING
Staten Island, NY
(40.639048796344156, -74.07332939342955)",NEW BRIGHTON-ST. GEORGE,D4-ELEVATOR,17,1985,25171,223015,8.86,91119,3.62,131896,787000,31.27,5-00027-0006,"12 HENDRICKS AVENUE
Staten Island, NY
(40.640666534910004, -74.08163011352691)",NEW BRIGHTON,C1-WALK-UP,18,1931,14696,175624,11.95,83566,5.69,92058,587000,39.94,0.48,5-00524-0004,"110 CANAL STREET
Staten Island, NY
(40.62650641894812, -74.07714777541807)",STAPLETON,C7-WALK-UP,9,1931,8100,46665,5.76,16068,1.98,30597,373000,46.05,0.97,,, , , , , , , , , , , , , 
5-00003-0001,"350 RICHMOND TERRACE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",NEW BRIGHTON,D4-ELEVATOR,140,1960,145446,1719172,11.82,1058847,7.28,660325,4217000,28.99,5-00008-0025,"285 ST MARK'S PLACE
Staten Island, NY
(40.642838628174005, -74.07870444823592)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,91,1965,77000,1012863,13.15,585481,7.6,427382,2842000,36.91,0.54,5-00008-0019,"299 ST MARK'S PLACE
Staten Island, NY
(40.64256810524033, -74.0784962789628)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,70,1951,56724,594650,10.48,326161,5.75,268489,1668000,29.41,0.54,,, , , , , , , , , , , , , 
5-00010-0019,"36 HAMILTON AVENUE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",NEW BRIGHTON-ST. GEORGE,D4-ELEVATOR,120,1963,75914,850996,11.21,485090,6.39,365906,2358000,31.06,5-00008-0025,"285 ST MARK'S PLACE
Staten Island, NY
(40.642838628174005, -74.07870444823592)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,91,1965,77000,1012863,13.15,585481,7.6,427382,2842000,36.91,0.12,5-00008-0019,"299 ST MARK'S PLACE
Staten Island, NY
(40.64256810524033, -74.0784962789628)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,70,1951,56724,594650,10.48,326161,5.75,268489,1668000,29.41,0.12,,, , , , , , , , , , , , , 
5-00018-0099,"50 FORT PLACE
Staten Island, NY
(40.6417358169915, -74.08014505796426)",NEW BRIGHTON,D4-ELEVATOR,109,1963,150800,1277276,8.47,624312,4.14,652964,3906000,25.9,5-00008-0019,"299 ST MARK'S PLACE
Staten Island, NY
(40.64256810524033, -74.0784962789628)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,70,1951,56724,594650,10.48,326161,5.75,268489,1668000,29.41,0.26,5-00008-0034,"273 ST MARK'S PLACE
Staten Island, NY
(40.64306907816211, -74.07888428240462)",NEW BRIGHTON-ST. GEORGE,D1-ELEVATOR,25,1912,24120,155568,6.45,50161,2.08,105407,627000,26,0.26,,, , , , , , , , , , , , , 
5-00101-0525,"515 CASTLETON AVENUE
Staten Island, NY
(40.63421242828656, -74.09983557856941)",WEST NEW BRIGHTON,C6-WALK-UP,16,1950,13114,118944,9.07,44588,3.4,74356,264000,20.13,5-00064-0003,"155 PROSPECT AVENUE
Staten Island, NY
(40.639522390599375, -74.09274165437026)",NEW BRIGHTON,C1-WALK-UP,30,1930,25660,317456,12.37,189368,7.38,128088,647000,25.21,0.59,5-00524-0004,"110 CANAL STREET
Staten Island, NY
(40.62650641894812, -74.07714777541807)",STAPLETON,C7-WALK-UP,9,1931,8100,46665,5.76,16068,1.98,30597,373000,46.05,1.41,,, , , , , , , , , , , , , 
5-00101-0537,"545 CASTLETON AVENUE
Staten Island, NY
(40.63436210493948, -74.10065732208393)",WEST NEW BRIGHTON,C6-WALK-UP,24,1950,17418,224692,12.9,121578,6.98,103114,643000,36.92,5-00128-0018,"177 SILVER LAKE ROAD
Staten Island, NY
(40.63281605162412, -74.09666706986992)",WEST NEW BRIGHTON,C1-WALK-UP,16,1931,13386,136161,10.17,68126,5.09,68035,350000,26.15,0.25,5-00238-0046,"317 JEWETT AVENUE
Staten Island, NY
(40.62930426864474, -74.13032033566365)",WEST NEW BRIGHTON,C1-WALK-UP,42,1971,25470,398060,15.63,225724,8.86,172336,1180000,46.33,1.55,,, , , , , , , , , , , , , 
5-00101-0554,"581 CASTLETON AVENUE
Staten Island, NY
(40.63458257193235, -74.10193621838208)",WEST NEW BRIGHTON,C6-WALK-UP,12,1950,10856,81637,7.52,30288,2.79,51349,234000,21.55,5-00128-0018,"177 SILVER LAKE ROAD
Staten Island, NY
(40.63281605162412, -74.09666706986992)",WEST NEW BRIGHTON,C1-WALK-UP,16,1931,13386,136161,10.17,68126,5.09,68035,350000,26.15,0.25,5-00145-0001,"81 MADA AVENUE
Staten Island, NY
(40.63246697880214, -74.10727165470709)",WEST NEW BRIGHTON,C1-WALK-UP,12,1977,5760,89626,15.56,38321,6.65,51305,351000,60.94,0.35,,, , , , , , , , , , , , , 
5-00130-0049,"245 FOREST AVENUE
Staten Island, NY
(40.6318297457294, -74.09779985702198)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,142539,14.53,74164,7.56,68375,426000,43.43,5-00128-0018,"177 SILVER LAKE ROAD
Staten Island, NY
(40.63281605162412, -74.09666706986992)",WEST NEW BRIGHTON,C1-WALK-UP,16,1931,13386,136161,10.17,68126,5.09,68035,350000,26.15,0.08,5-00236-0027,"832 POST AVENUE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",WEST NEW BRIGHTON,C1-WALK-UP,12,1931,8720,164738,18.89,87503,10.03,77235,511000,58.6,1.61,,, , , , , , , , , , , , , 
5-00131-0056,"255 FOREST AVENUE
Staten Island, NY
(40.63174299038349, -74.09807881413032)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,152644,15.56,85445,8.71,67199,371000,37.82,5-00128-0018,"177 SILVER LAKE ROAD
Staten Island, NY
(40.63281605162412, -74.09666706986992)",WEST NEW BRIGHTON,C1-WALK-UP,16,1931,13386,136161,10.17,68126,5.09,68035,350000,26.15,0.13,5-00145-0001,"81 MADA AVENUE
Staten Island, NY
(40.63246697880214, -74.10727165470709)",WEST NEW BRIGHTON,C1-WALK-UP,12,1977,5760,89626,15.56,38321,6.65,51305,351000,60.94,0.42,5-00236-0027,"832 POST AVENUE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",WEST NEW BRIGHTON,C1-WALK-UP,12,1931,"8,720","164,738",18.89,"87,503",10.03,"77,235","511,000",58.60,1.56
5-00138-0119,"154 BARD AVENUE
Staten Island, NY
(40.64077829151043, -74.10872773579793)",LIVINGSTON,C6-WALK-UP,60,1947,36600,476532,13.02,249978,6.83,226554,1869000,51.07,5-00064-0003,"155 PROSPECT AVENUE
Staten Island, NY
(40.639522390599375, -74.09274165437026)",NEW BRIGHTON,C1-WALK-UP,30,1930,25660,317456,12.37,189368,7.38,128088,647000,25.21,0.83,5-01015-0001,"137 HEBERTON AVENUE
Staten Island, NY
(40.63677941950782, -74.13131334974379)",PORT RICHMOND,C1-WALK-UP,28,1933,20800,323648,15.56,181168,8.71,142480,976000,46.92,1.19,,, , , , , , , , , , , , , 
5-00327-0015,"1000 CLOVE ROAD
Staten Island, NY
(40.62062459750375, -74.11004923122906)",CLOVE LAKES,D4-ELEVATOR,143,1966,127800,1395576,10.92,752742,5.89,642834,3978000,31.13,5-03034-0022,"600 HYLAN BOULEVARD
Staten Island, NY
(40.605386778302616, -74.07617734418196)",ROSEBANK,D1-ELEVATOR,136,1966,144000,1572878,10.92,966234,6.71,606644,3754000,26.07,2.06,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
