QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-01527-7501,281-R1,42-15 81 STREET,ELMHURST,R4-ELEVATOR,114,1989,130980,2357640,18,8819997,67,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,947099,17.58,3540000,66,3.3,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,3.05
4-01527-7502,299-R1,42-10 82 STREET,ELMHURST,R9-CONDOPS,88,1939,85702,1178402,13.75,3670000,42.8,4-01526-0062,42-55 80 STREET,ELMHURST,C1-WALK-UP,32,1927,23310,324373,13.92,1010000,43.3,0.05,4-01532-0016,45-26 80 STREET,ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.15
4-01527-7503,415-R1,42-32 82 STREET,ELMHURST,R4-ELEVATOR,20,2002,20510,379435,18.5,1419998,69,4-01561-0025,44-30 MACNISH STREET,ELMHURST,D7-ELEVATOR,72,1962,61318,1172522,19.12,4380000,71,0.2,4-01504-0001,40-05 HAMPTON STREET,ELMHURST,D1-ELEVATOR,122,1963,75642,1569761,20.75,5870000,78,0.3
4-01527-7504,441-R1,42-36 82 STREET,ELMHURST,R4-ELEVATOR,14,2003,13560,257640,19,963002,71,4-01561-0025,44-30 MACNISH STREET,ELMHURST,D7-ELEVATOR,72,1962,61318,1172522,19.12,4380000,71,0.2,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,2
4-01531-7501,468-R1,78-36 46 AVENUE,ELMHURST,R4-ELEVATOR,26,2005,25499,484481,19,1810003,71,4-01561-0025,44-30 MACNISH STREET,ELMHURST,D7-ELEVATOR,72,1962,61318,1172522,19.12,4380000,71,0.4,4-01516-0031,86-19 ELMHURST AVENUE,ELMHURST,D1-ELEVATOR,38,1964,23200,440002,18.97,1650000,71,0.45
4-01532-7501,237-R1,79-12 45 AVENUE,ELMHURST,R2-WALK-UP,24,1988,19769,316304,16,1069991,54,4-01584-0007,46-19 88 STREET,ELMHURST,C1-WALK-UP,17,2001,14862,236200,15.89,799000,54,0.45,4-01764-0017,98-15 ROOSEVELT AVENUE,CORONA,C7-WALK-UP,12,1988,12300,235050,19.11,879000,71,1.15
4-01536-7501,30-R1,80-06 47 AVENUE,ELMHURST,R4-ELEVATOR,75,1980,105000,1522500,14.5,5149997,49,4-01336-0052,40-14 62 STREET,WOODSIDE,D1-ELEVATOR,56,1963,42924,682230,15.89,2310000,54,1,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,0.45
4-01536-7502,33-R1,76-26 47 AVENUE,ELMHURST,R4-ELEVATOR,22,1980,27450,398025,14.5,1350000,49.2,4-01336-0052,40-14 62 STREET,WOODSIDE,D1-ELEVATOR,56,1963,42924,682230,15.89,2310000,54,1,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,0.45
4-01540-7501,575-R1,81-15 QUEENS BOULEVARD,ELMHURST,R4-ELEVATOR,42,2006,54852,1371300,25,5679998,104,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,3.3,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,4.05
4-01611-7501,161-R1,41-10 97 PLACE,CORONA,R2-WALK-UP,12,1987,9424,141360,15,478004,51,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,175895,14.3,595000,48.4,0.1,4-01516-0041,42-45 JUDGE STREET,ELMHURST,C1-WALK-UP,21,1964,12992,193312,14.88,654000,50,0.65
4-01747-7501,600-R1,35-03 105 STREET,CORONA,R2-WALK-UP,12,2006,9999,259974,26,1080000,108,4-00659-0073,30-62 38 STREET,ASTORIA,C1-WALK-UP,16,2005,14818,275137,18.57,1030000,70,2.9,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,4.8
4-01766-7501,571-R1,100-03 39 AVENUE,CORONA,R4-ELEVATOR,27,0,18569,464225,25,1920006,103,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,3.6,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.95
4-01773-7501,622-R1,37-27 107 STREET,CORONA,R4-ELEVATOR,33,2007,20329,569212,28,2360002,116,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,3.85,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,2.05
4-01774-7501,642-R1,104-48 37 DRIVE,CORONA,R2-WALK-UP,15,2008,11288,316064,28,1309846,116,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.95,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,4.85
4-01775-7501,469-R1,104-19 39 AVENUE,CORONA,R2-WALK-UP,16,2005,14000,294000,21,1280000,91,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.9,4-03166-0067,68-12 AUSTIN STREET,REGO PARK,D7-ELEVATOR,17,1998,16949,370481,21.86,1530000,90,2
4-01775-7504,578-R1,104-33 39 AVENUE,CORONA,R2-WALK-UP,16,2006,14000,364000,26,1702008,122,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,4.85,4-00659-0073,30-62 38 STREET,ASTORIA,C1-WALK-UP,16,2005,14818,275137,18.57,1030000,70,3.05
4-01776-7501,567-R1,39-06 108 STREET,CORONA,R2-WALK-UP,15,2006,11925,238500,20,892004,75,4-01753-0063,109-15 37 AVENUE,CORONA,C1-WALK-UP,36,1963,14895,339190,22.77,1400000,94,0.3,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,175895,14.3,595000,48.4,0.4
4-01779-7501,452-R1,38-11 108 STREET,CORONA,R4-ELEVATOR,87,2005,78190,1641990,21,6800006,87,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,947099,17.58,3540000,66,1.85,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.95
4-01781-7501,426-R1,118 37 AVENUE,CORONA,R2-WALK-UP,24,2002,21312,394272,18.5,1470001,69,4-01595-0006,40-47 95 STREET,ELMHURST,C7-WALK-UP,13,1971,7316,192120,26.3,796000,109,0.85,4-01764-0017,98-15 ROOSEVELT AVENUE,CORONA,C7-WALK-UP,12,1988,12300,235050,19.11,879000,71,0.65
4-01781-7502,617-R1,111-28 37 AVENUE,CORONA,R4-ELEVATOR,18,2008,24344,632944,26,2620000,108,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,5.1,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,4.1
4-01837-7501,333-R1,88-30 51 AVENUE,ELMHURST,R4-ELEVATOR,74,1959,64938,811725,12.5,2280001,35.1,4-01251-0030,78-01 34 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,96,1950,90950,1161455,12.77,3620000,39.8,1.3,4-01279-0001,79-06 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,96,1950,95000,1008118,10.61,2610000,27.5,1
4-01842-7501,98-R1,87-08 JUSTICE AVENUE,ELMHURST,R4-ELEVATOR,100,1986,104150,1458100,14,4540027,43.6,4-02004-0043,48-10 111 STREET,CORONA,D1-ELEVATOR,22,1988,18000,243802,13.54,759000,42.2,1.3,4-01902-0039,56-11 56 AVENUE,ELMHURST,D7-ELEVATOR,113,1964,108120,1604559,14.84,5430000,50,0.5
4-01853-7503,360-R1,90-70 51 AVENUE,ELMHURST,R2-WALK-UP,14,1989,8807,132105,15,481998,55,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,0.65,4-01518-0083,84-11 ELMHURST AVENUE,ELMHURST,D7-ELEVATOR,49,1962,35082,610001,17.39,2280000,65,0.5
4-01855-7501,454-R1,53-11 90 STREET,ELMHURST,R4-ELEVATOR,77,1964,72000,1098000,15.25,3710014,52,4-01519-0028,75-06 WOODSIDE AVENUE,ELMHURST,D1-ELEVATOR,74,1962,52553,940580,17.9,3520000,67,1,4-01913-0001,94-30 HOR HARDING EXPWY S,ELMHURST,D1-ELEVATOR,88,1965,79360,1272576,16.04,4300000,54,0.45
4-01857-7501,445-R1,90-20 55 AVENUE,ELMHURST,R4-ELEVATOR,20,2004,22536,383112,17,1430002,63,4-01561-0025,44-30 MACNISH STREET,ELMHURST,D7-ELEVATOR,72,1962,61318,1172522,19.12,4380000,71,0.55,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,0.1
4-01910-7501,129-R1,57-10 JUNCTION BOULEVARD,ELMHURST,R9-CONDOPS,66,1961,75780,1060920,14,3300000,43.5,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3877420,14.74,13100000,49.8,1.2,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,1.05
4-01910-7501,129-R2,94-31 59 AVENUE,ELMHURST,R9-CONDOPS,132,1961,151162,2040687,13.5,6350000,42,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,1.1,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3877420,14.74,13100000,49.8,1.25
4-01910-7501,129-R3,94-31 60 AVENUE,ELMHURST,R9-CONDOPS,264,1961,302236,4080186,13.5,12700000,42,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3877420,14.74,13100000,49.8,1.3,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,1.15
4-01910-7501,129-R4,94-30 60 AVENUE,ELMHURST,R9-CONDOPS,66,1961,75693,1059702,14,3300000,43.6,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3877420,14.74,13100000,49.8,1.35,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1268897,14.13,3950000,44,1.2
4-01941-7501,489-R1,102-14 LEWIS AVENUE,CORONA,R4-ELEVATOR,40,2004,35706,821238,23,3400005,95,4-02016-0046,111-88 43 AVENUE,CORONA,D7-ELEVATOR,24,1988,15000,258382,17.23,966000,64,0.65,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.15
4-01955-7501,367-R1,54-09 108 STREET,CORONA,R4-ELEVATOR,29,1992,25040,375600,15,1270003,51,4-02004-0043,48-10 111 STREET,CORONA,D1-ELEVATOR,22,1988,18000,243802,13.54,759000,42.2,0.3,4-02016-0046,111-88 43 AVENUE,CORONA,D7-ELEVATOR,24,1988,15000,258382,17.23,966000,64,0.55
4-01993-7501,502-R1,106-19 50 AVENUE,CORONA,R4-ELEVATOR,24,2004,16136,403400,25,1670000,103,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,1.9,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,4.25
4-02075-7501,143-R1,92-28 QUEENS BOULEVARD,REGO PARK,R4-ELEVATOR,112,1985,137200,2126600,15.5,7190006,52,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1104553,16.5,3730000,56,0.4,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,445365,12.69,1390000,39.6,3.2
4-02082-7501,229-R1,62-54 97 PLACE,REGO PARK,R4-ELEVATOR,206,1988,190498,2476474,13,7709980,40.5,4-01918-0072,98-32 57 AVENUE,CORONA,D1-ELEVATOR,232,1965,239000,2862287,11.98,8040000,33.6,0.2,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1104553,16.5,3730000,56,0.2
4-02090-7501,322-R1,97-12 63 DRIVE,REGO PARK,R4-ELEVATOR,73,1992,51254,794437,15.5,2690008,52,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1104553,16.5,3730000,56,0.1,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,445365,12.69,1390000,39.6,3.1
4-02099-7501,457-R1,63-26 99 STREET,REGO PARK,R4-ELEVATOR,32,1999,30520,595140,19.5,2230000,73,4-05137-0012,42-49 COLDEN STREET,FLUSHING-NORTH,D3-ELEVATOR,284,1962,270499,4123605,15.24,13900000,51,2.3,4-03104-0108,65-90 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1289329,22.38,5340000,93,0.5
4-02112-7501,61-R1,63-60 102 STREET,REGO PARK,R4-ELEVATOR,139,1949,132000,1782000,13.5,5550000,42,4-02113-0034,99-60 64 AVENUE,REGO PARK,D1-ELEVATOR,132,1952,119985,1583151,13.19,4450000,37.1,0.05,4-02117-0001,99-19 66 AVENUE,REGO PARK,D7-ELEVATOR,312,1939,338016,4049211,11.98,11400000,33.7,0.25
4-02116-7501,589-R1,99-31 66 AVENUE,REGO PARK,R4-ELEVATOR,22,2006,54420,1414920,26,5860005,108,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,0.3,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,3.3
4-02118-7501,334-R1,99-32 66 ROAD,REGO PARK,R9-CONDOPS,489,1952,418980,5551485,13.25,17300000,41.3,4-02090-0026,63-60 98 STREET,REGO PARK,D1-ELEVATOR,129,1951,125610,1593664,12.69,4960000,39.5,0.4,4-02122-0028,102-50 62 ROAD,FOREST HILLS,D1-ELEVATOR,102,1956,99350,1390954,14,4330000,43.6,0.5
4-02119-7501,183-R1,100-25 QUEENS BOULEVARD,REGO PARK,R4-ELEVATOR,157,1959,148800,2232000,15,7550009,51,4-03156-0133,98-05 67 AVENUE,REGO PARK,D3-ELEVATOR,181,1960,177710,2758144,15.52,9330000,53,0.25,4-03078-0085,93-10 QUEENS BOULEVARD,REGO PARK,D7-ELEVATOR,114,1950,104708,1590548,15.19,5380000,51,0.75
4-02149-7501,616-R1,64-05 YELLOWSTONE BOULEVA,FOREST HILLS,R2-WALK-UP,105,2006,159968,3839232,24,15900007,99,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,5.7,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,4.9
4-02186-7501,172-R1,110-14 65 AVENUE,FOREST HILLS,R2-WALK-UP,20,1951,22736,341040,15,1149994,51,4-03104-0023,63-70 AUSTIN STREET,REGO PARK,C1-WALK-UP,84,1950,75246,987451,13.12,3070000,40.8,0.95,4-03094-0005,63-19 AUSTIN STREET,REGO PARK,C9-WALK-UP,95,1948,72000,1065275,14.8,3600000,50,1.1
4-02220-7501,590-R1,69-45 108 STREET,FOREST HILLS,R4-ELEVATOR,103,1955,119194,1728313,14.5,5840000,49,4-02132-0045,66-25 103 STREET,FOREST HILLS,D1-ELEVATOR,148,1964,169348,2472884,14.6,8360000,49.4,0.5,4-02135-0013,102-40 67 ROAD,FOREST HILLS,D1-ELEVATOR,135,1960,137700,1848283,13.42,5760000,41.8,0.4
4-02224-7501,75-R1,109-33 71 ROAD,FOREST HILLS,R4-ELEVATOR,73,1960,57269,844717,14.75,2860012,49.9,4-02144-0002,105-10 62 ROAD,FOREST HILLS,D1-ELEVATOR,108,1956,85908,1397174,16.26,4720000,55,1.1,4-02224-0028,108-50 71 AVENUE,FOREST HILLS,D7-ELEVATOR,62,1950,63074,1022934,16.22,3460000,55,0
4-02239-7501,177-R1,111-01 QUEENS BOULEVARD,FOREST HILLS,R9-CONDOPS,120,1966,144310,2020340,14,6290000,43.6,4-02132-0045,66-25 103 STREET,FOREST HILLS,D1-ELEVATOR,148,1964,169348,2472884,14.6,8360000,49.4,0.95,4-02134-0013,102-30 67 AVENUE,FOREST HILLS,D1-ELEVATOR,123,1963,135400,1904174,14.06,5930000,43.8,0.85
4-02264-7501,339-R1,112-01 QUEENS BOULEVARD,FOREST HILLS,R4-ELEVATOR,226,1991,282298,5645960,20,21099995,75,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1104553,16.5,3730000,56,1.5,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1271409,22.07,5270000,91,1.2
4-02267-7501,342-R1,76-01 113 STREET,FLUSHING MEADOW PARK,R4-ELEVATOR,28,1990,32000,520000,16.25,1759998,55,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1104553,16.5,3730000,56,1.65,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,445365,12.69,1390000,39.6,3.5
4-02313-7501,392-R1,58-12 QUEENS BOULEVARD,WOODSIDE,R9-CONDOPS,122,1998,132550,2684137,20.25,10000000,75,4-02324-0035,44-20 63 STREET,WOODSIDE,D9-ELEVATOR,78,1982,58000,1335483,23.03,2830000,48.8,0.25,4-04977-0021,137-02 NORTHERN BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1352211,20.09,5060000,75,4.35
4-02383-7501,154-R1,65-31 52 AVENUE,MASPETH,R2-WALK-UP,17,1987,17400,234900,13.5,732003,42.1,4-03068-0058,66-52 79 STREET,MIDDLE VILLAGE,C1-WALK-UP,19,1973,18480,292000,15.8,987000,53,1.9,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,1.45
4-02467-7502,519-R1,79-39 CALAMUS AVENUE,ELMHURST,R4-ELEVATOR,14,1990,14013,301279,21.5,1249996,89,4-03166-0067,68-12 AUSTIN STREET,REGO PARK,D7-ELEVATOR,17,1998,16949,370481,21.86,1530000,90,1.85,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,519388,20.04,1940000,75,3.1
4-02474-7501,480-R1,81-18 QUEENS BOULEVARD,ELMHURST,R4-ELEVATOR,30,2004,24285,607125,25,2509998,103,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.7,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,3.3
4-02476-7501,145-R1,51-33 GOLDSMITH STREET,ELMHURST,R4-ELEVATOR,62,1962,51341,718774,14,2239980,43.6,4-02474-0022,51-15 VAN KLEECK STREET,ELMHURST,D1-ELEVATOR,88,1960,74600,1027959,13.78,3200000,42.9,0.1,4-01519-0028,75-06 WOODSIDE AVENUE,ELMHURST,D1-ELEVATOR,74,1962,52553,940580,17.9,3520000,67,0.65
4-02476-7502,618-R1,52-18 VAN LOON STREET,ELMHURST,R4-ELEVATOR,15,2007,12060,337680,28,1400020,116,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,3.4,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.6
4-02500-7501,203-R1,55-36 69 PLACE,ELMHURST,R4-ELEVATOR,12,1988,11782,164948,14,513996,43.6,4-03104-0108,65-90 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1289329,22.38,5340000,93,1.75,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,1.4
4-02756-7501,153-R1,62-36 59 DRIVE,MASPETH,R4-ELEVATOR,11,1987,9765,156240,16,527999,54,4-02004-0043,48-10 111 STREET,CORONA,D1-ELEVATOR,22,1988,18000,243802,13.54,759000,42.2,3.15,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,229810,17.81,859000,67,3.85
4-02784-7501,175-R1,61-12 69 STREET,MASPETH,R2-WALK-UP,37,1987,35316,565056,16,1909998,54,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,498000,17.84,1860000,67,1.7,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,1.7
4-02796-7501,266-R1,57-15 69 LANE,ELMHURST,R2-WALK-UP,13,1989,10170,157635,15.5,532997,52,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,1.45,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,332320,16.44,1120000,55,3.1
4-02851-7501,113-R1,87-12 GRAND AVENUE,ELMHURST,R4-ELEVATOR,20,1986,20679,325694,15.75,1100000,53,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,0.75,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,332320,16.44,1120000,55,2.55
4-02858-7501,133-R1,87-14 57 ROAD,ELMHURST,R4-ELEVATOR,25,1987,20333,315161,15.5,1070001,53,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,1,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,332320,16.44,1120000,55,2.25
4-02875-7501,395-R1,85-26 GRAND AVENUE,ELMHURST,R2-WALK-UP,16,1990,12700,203200,16,687001,54,4-01349-0016,70-06 WOODSIDE AVENUE,ELMHURST,C1-WALK-UP,23,1961,13772,247437,17.97,925000,67,0.85,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,0.5
4-02882-7501,400-R1,85-36 57 AVENUE,ELMHURST,R2-WALK-UP,19,1998,10770,199245,18.5,745001,69,4-02734-0001,60-06 60 DRIVE,MASPETH,C9-WALK-UP,31,1996,25036,491174,19.62,1840000,73,1.9,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251519,14.88,850000,50,0.5
4-02882-7502,425-R1,85-24 57 AVENUE,ELMHURST,R2-WALK-UP,15,2002,12234,247738,20.25,925999,76,4-00598-0018,26-39 30 STREET,ASTORIA,C1-WALK-UP,14,1999,10000,193214,19.32,722000,72,3.4,4-03166-0067,68-12 AUSTIN STREET,REGO PARK,D7-ELEVATOR,17,1998,16949,370481,21.86,1530000,90,1.35
4-02885-7501,569-R1,60-70 WOODHAVEN BOULEVARD,MIDDLE VILLAGE,R4-ELEVATOR,46,2007,38062,989612,26,4099998,108,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1271409,22.07,5270000,91,0.95,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.1
4-02891-7502,527-R1,84-32 GRAND AVENUE,ELMHURST,R4-ELEVATOR,21,2006,18328,476528,26,1969995,107,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,3.35,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.55
4-03029-7501,102-R1,71-09 JUNIPER VALLEY ROAD,MIDDLE VILLAGE,R2-WALK-UP,12,1985,13338,206739,15.5,698997,52,4-03050-0019,69-16 66 DRIVE,MIDDLE VILLAGE,C1-WALK-UP,16,1971,11209,158400,14.13,493000,44,0.2,4-05285-0010,163-02 CROCHERON AVENUE,FLUSHING-NORTH,C7-WALK-UP,15,1964,11866,224163,18.89,838000,71,5.3
4-03054-7501,634-R1,66-83 70 STREET,MIDDLE VILLAGE,R4-ELEVATOR,16,2007,9742,272776,28,1946443,200,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,4.1,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,1.8
4-03055-7501,142-R1,66-57 71 STREET,MIDDLE VILLAGE,R2-WALK-UP,12,1985,11160,167400,15,566001,51,4-00619-0033,31-20 28 ROAD,ASTORIA,C1-WALK-UP,12,1987,9053,136528,15.08,462000,51,4.2,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,175895,14.3,595000,48.4,2.6
